ID,CID,Gender,AgeR,AgeG,AgeGroup,MHVS,SEND,SFQuestion_1_Text,SFQuestion_2_Text,SFQuestion_3_Text,SFQuestion_4_Text,SFQuestion_5_Text,SFQuestion_6_Text,SS_Brian_Text,SS_Peabody_Text,SS_Prisoner_Text,SS_Simon_Text,SS_Burglar_Text
2001001,21,1,9.67,1,2,11,0,I think the men hide because they are scared of that lady or~~ they are not suppose the be there~~,I think the woman thinks that there are buglers in her house maybe,I THINK THE DRIVER LOCK HARLODIN THE VAN BECAUSE HE DOES NOTICE THAT HE IS THERE,THE DELIVER MAN WAS FEELING SCARED BECAUSE I THINK HE THINKS THAT THE DELIVERY MAN CAME TO LIVE,I think Harold picks up the hat because he is frustrated with that lady,I think Harold fans Mildred because he was going to be angry with him if he saw Harold talking to her,HE IS A Very GRRRRREEEEEEDDDDY boy and LIKE SO MUCH sousagggggggggggggeeeeeeeesssssssssssss,she said it because she thought that he was going to rob her,HE SAID THAT BECAUSE HE DOES NOT WANT THEM TO FIND OUT WHERE HIS ARMS TANK,BECAUSE HE KNOWS THAT SIMON IS NOT TELLING THE TRUTH,THE BURGLAR DID THAT BECAUSE HE KNEW HE WAS GOING TO BE ARRESTED
2001002,21,1,10.07,2,3,18,0,I think the men hide  because the woman is searching for them.,Where are those men?,I think he did not know Harold was there and he was just trying to drive away in his van.,he is feeling surprised as he thought it was just a manican that he was carrying but then it sneezes and he drops it in shock.~~,He thinks it is the lady's scarf.,To pretend she is asleep.~~,He wants more food.~~,She thought the man would rob her and she didn't want to get hurt.~~,He said that because they think he is lying to them.,he will look in the cupboard because he knows his brother always lies.,He did that because he thought the police was arresting him.
2001003,21,1,9.95,1,2,14,0,I think the men hide because the women is coming to tell the not to rent the cd or she came to say do the washing up.,I think she is thinking were are the men,I think the driver did not know Harold was in the van~~,I think the delivery man is feeling shocked because Harold sneezed and the delivery man got scared so he had a type of shock.,I think Harold picks up the cat because it is his scarf or he picked up a cat and not his scarf.,I think Harold fans Mildred because Mildred is pretending she has fainted or its very stuffy in the room,Brian says this because he wants more sausages~~,Mrs Peabody said this because she was scared,The Prisoner said this because he wanted to trick them to say that he was lying,Because Simon lies so he goes to the opest place,H did this because he thought the police man was going to arrest him
2001004,21,0,9.22,1,2,13,0,because they did a trade money for a cd,what is Harold hiding,because they want more money,he is aLive,because he thinks it is a offit,so he dosen 't now that they are in love,because he is greedy,because she is nervous,because he is tricking him,because he lies,because the police man doesn't know he is bad
2001005,21,0,9.3,1,2,16,0,Because they are hiding something and they are scared,where are they Were are they gone,Because he dosent know that Harold is there.,Nervous because the statue is moving and he dosnt know whats happening.,Because he thinks it is a scarf.,Beacause Mildred is is pretending to be suffering.,Because he wants more sausages and he is greedy,Because she does not want to be kidnapped.,Because they will look by the sea and be fooled.,Because he knows Simon is a big liar.,Because he doesn't want to be shooted by the poleice man
2001006,21,0,9.6,1,2,17,0,they do not want anyone to see what they are doing,there is no one at the house when she comes in,he does not know he is there so he shuts the door anyway,he is feeling surprised when he sees the person hiding there,he thinks it is a furry scarf,he is pretending she is asleep so he fans her to keep her asleep,he just wants more sausages so he lied,she thinks the man is a really bad thief,he knows the enemies will go to the opposite of what he is saying,because Simon is a big liar,he thinks the police is trying to arrest him.
2001007,21,1,9.91,1,2,17,0,They were scared of the woman.,'I am angry!',The driver didn't know that Harold was IN the van.,I think that the delivery man felt that there was nothing 'fishy' going on and that he was just delivering a normal parcel.,He thought it was a fluffy scarf.,He wanted her to play dead.~~,Brian said this because he is extremely greedy.~~,"She was afraid the man was going to attack and hurt her so then she tried to keep herself safe because is someone is going to attack you, they probably want your valuables.","He was using a method called 'reverse psychology'. Basically, the Red army would think the prisoner is lying, so they would go the opposite. However, the prisoner knows this so he tells them the oppos",Jim would look in the cupboard because he knows that Simon is probably lying.,"He knew that he was going to be arrested either way, so he just decided to give up and admit he did it instead of being part of a lie detector test."
2001008,21,0,10.06,2,3,9,0,I think the men hide because the lady is telling them off because they have done something wrong.,I think that the women is thinking where have the men gone.,I think the driver locked haroled in the van because he was being nauty.,I think the dilery man feals shoct.,I THINK HAROLED PICKED UP THE CAT TO GET REVENGE ON THE WOMEN.,I THINK HAROLED FANS MILLDRED SO THAT THE OTHER MAN WOULD THINK SHE IS SICK.,BREIN SAYS THIS BECAUSE HE IS A GREEDY BOY.,SHE SIAD THAT BECAUSE SHE WAS AFRAID OF THIS MAN.,THE PRESIONER SIAD THAT BECAUSE HE WANTED TO TRICK THEM.,JIM LOOKS IN THE COPBOARD BECAUSE HE NOSE THAT SIMON IS LIEING.,HE DID IT BECAUSE HE THOUGH THE POLICE MAN HAD CAUGHT HIM.
2001009,21,0,9.41,1,2,12,0,The men hid because they where hiding from the woman.,"I think the woman is thinking ""were are these men""",I think the drive locks Harold in the van because the other man told him to.,I think the delivery man was feeling scared because he droped Haroled and ran of.,I think Harold picks up the cat because he thinks its a scarf,I think Harold fans Mildred because he wants it to look like shes fainted.,I think Brien says this because he wants more saugase than any one eals.,I think she said it because she was afrade that the man was going to steal her pures.,He said it because he was trying to trick them by using revers sicoligy.,He looked in the coberd because Simon always lies.~~,The begular does it because he thinks the pplice man is going to arrest him .
2001010,21,1,9.13,1,2,-99,0,Because of the lady in white,the women is thinking where are they,Because he doesn't know that hes there,the delivery man is feeling scared,Harold picks up the cat to scare the lady,Harold fans mildred to wake her up,to get the sausages,because shes nervouse,to lie to them,because simon lied,he thought that he was being arrested
