ID,CID,Gender,AgeR,AgeG,AgeGroup,MHVS,SEND,SFQuestion_1_Text,SFQuestion_1_Rating,SFQuestion_2_Text,SFQuestion_2_Rating,SFQuestion_3_Text,SFQuestion_3_Rating,SFQuestion_4_Text,SFQuestion_4_Rating,SFQuestion_5_Text,SFQuestion_5_Rating,SFQuestion_6_Text,SFQuestion_6_Rating,SS_Brian_Text,SS_Brian_Rating,SS_Peabody_Text,SS_Peabody_Rating,SS_Prisoner_Text,SS_Prisoner_Rating,SS_Simon_Text,SS_Simon_Rating,SS_Burglar_Text,SS_Burglar_Rating
2001001,21,1,9.67,1,2,11,0,Why did the men hide ? I think the men hide because they are scared of that lady or~~ they are not suppose the be there~~,0,What does the woman think ? I think the woman thinks that there are buglers in her house maybe,0.0,Why did the driver lock Harold in the van ? I THINK THE DRIVER LOCK HARLODIN THE VAN BECAUSE HE DOES NOTICE THAT HE IS THERE,2.0,What is the deliveryman feeling and why ? THE DELIVER MAN WAS FEELING SCARED BECAUSE I THINK HE THINKS THAT THE DELIVERY MAN CAME TO LIVE,2.0,Why did Harold pick up the cat ? I think Harold picks up the hat because he is frustrated with that lady,0.0,Why does Harold fan Mildred ? I think Harold fans Mildred because he was going to be angry with him if he saw Harold talking to her,0.0,Why does Brian say this ? HE IS A Very GRRRRREEEEEEDDDDY boy and LIKE SO MUCH sousagggggggggggggeeeeeeeesssssssssssss,1.0,Why did she say that ? she said it because she thought that he was going to rob her,2.0,Why did the prisoner say that ? HE SAID THAT BECAUSE HE DOES NOT WANT THEM TO FIND OUT WHERE HIS ARMS TANK,1.0,Why will Jim look in the cupboard for the paddle ? BECAUSE HE KNOWS THAT SIMON IS NOT TELLING THE TRUTH,2.0,Why did the burglar do that ? THE BURGLAR DID THAT BECAUSE HE KNEW HE WAS GOING TO BE ARRESTED,1.0
2001002,21,1,10.07,2,3,18,0,Why did the men hide ? I think the men hide because the woman is searching for them .,0,What does the woman think ? Where are those men ?,2.0,Why did the driver lock Harold in the van ? I think he did not know Harold was there and he was just trying to drive away in his van .,2.0,What is the deliveryman feeling and why ? he is feeling surprised as he thought it was just a manican that he was carrying but then it sneezes and he drops it in shock.~~,2.0,Why did Harold pick up the cat ? He thinks it is the lady 's scarf .,2.0,Why does Harold fan Mildred ? To pretend she is asleep.~~,2.0,Why does Brian say this ? He wants more food.~~,1.0,Why did she say that ? She thought the man would rob her and she did n't want to get hurt.~~,2.0,Why did the prisoner say that ? He said that because they think he is lying to them .,2.0,Why will Jim look in the cupboard for the paddle ? he will look in the cupboard because he knows his brother always lies .,2.0,Why did the burglar do that ? He did that because he thought the police was arresting him .,1.0
2001003,21,1,9.95,1,2,14,0,Why did the men hide ? I think the men hide because the women is coming to tell the not to rent the cd or she came to say do the washing up .,0,What does the woman think ? I think she is thinking were are the men,2.0,Why did the driver lock Harold in the van ? I think the driver did not know Harold was in the van~~,2.0,What is the deliveryman feeling and why ? I think the delivery man is feeling shocked because Harold sneezed and the delivery man got scared so he had a type of shock .,1.0,Why did Harold pick up the cat ? I think Harold picks up the cat because it is his scarf or he picked up a cat and not his scarf .,0.0,Why does Harold fan Mildred ? I think Harold fans Mildred because Mildred is pretending she has fainted or its very stuffy in the room,0.0,Why does Brian say this ? Brian says this because he wants more sausages~~,1.0,Why did she say that ? Mrs Peabody said this because she was scared,1.0,Why did the prisoner say that ? The Prisoner said this because he wanted to trick them to say that he was lying,2.0,Why will Jim look in the cupboard for the paddle ? Because Simon lies so he goes to the opest place,1.0,Why did the burglar do that ? H did this because he thought the police man was going to arrest him,1.0
2001004,21,0,9.22,1,2,13,0,Why did the men hide ? because they did a trade money for a cd,0,What does the woman think ? what is Harold hiding,0.0,Why did the driver lock Harold in the van ? because they want more money,0.0,What is the deliveryman feeling and why ? he is aLive,0.0,Why did Harold pick up the cat ? because he thinks it is a offit,2.0,Why does Harold fan Mildred ? so he dosen 't now that they are in love,2.0,Why does Brian say this ? because he is greedy,1.0,Why did she say that ? because she is nervous,1.0,Why did the prisoner say that ? because he is tricking him,1.0,Why will Jim look in the cupboard for the paddle ? because he lies,1.0,Why did the burglar do that ? because the police man does n't know he is bad,0.0
2001005,21,0,9.3,1,2,16,0,Why did the men hide ? Because they are hiding something and they are scared,0,What does the woman think ? where are they Were are they gone,2.0,Why did the driver lock Harold in the van ? Because he dosent know that Harold is there .,2.0,What is the deliveryman feeling and why ? Nervous because the statue is moving and he dosnt know whats happening .,1.0,Why did Harold pick up the cat ? Because he thinks it is a scarf .,2.0,Why does Harold fan Mildred ? Beacause Mildred is is pretending to be suffering .,0.0,Why does Brian say this ? Because he wants more sausages and he is greedy,1.0,Why did she say that ? Because she does not want to be kidnapped .,1.0,Why did the prisoner say that ? Because they will look by the sea and be fooled .,1.0,Why will Jim look in the cupboard for the paddle ? Because he knows Simon is a big liar .,2.0,Why did the burglar do that ? Because he does n't want to be shooted by the poleice man,0.0
2001006,21,0,9.6,1,2,17,0,Why did the men hide ? they do not want anyone to see what they are doing,1,What does the woman think ? there is no one at the house when she comes in,2.0,Why did the driver lock Harold in the van ? he does not know he is there so he shuts the door anyway,2.0,What is the deliveryman feeling and why ? he is feeling surprised when he sees the person hiding there,1.0,Why did Harold pick up the cat ? he thinks it is a furry scarf,2.0,Why does Harold fan Mildred ? he is pretending she is asleep so he fans her to keep her asleep,2.0,Why does Brian say this ? he just wants more sausages so he lied,2.0,Why did she say that ? she thinks the man is a really bad thief,2.0,Why did the prisoner say that ? he knows the enemies will go to the opposite of what he is saying,1.0,Why will Jim look in the cupboard for the paddle ? because Simon is a big liar,1.0,Why did the burglar do that ? he thinks the police is trying to arrest him .,1.0
2001007,21,1,9.91,1,2,17,0,Why did the men hide ? They were scared of the woman .,0,What does the woman think ? ' I am angry ! ',0.0,Why did the driver lock Harold in the van ? The driver did n't know that Harold was IN the van .,2.0,What is the deliveryman feeling and why ? I think that the delivery man felt that there was nothing 'fishy ' going on and that he was just delivering a normal parcel .,1.0,Why did Harold pick up the cat ? He thought it was a fluffy scarf .,2.0,Why does Harold fan Mildred ? He wanted her to play dead.~~,2.0,Why does Brian say this ? Brian said this because he is extremely greedy.~~,1.0,"Why did she say that ? She was afraid the man was going to attack and hurt her so then she tried to keep herself safe because is someone is going to attack you , they probably want your valuables .",1.0,"Why did the prisoner say that ? He was using a method called 'reverse psychology ' . Basically , the Red army would think the prisoner is lying , so they would go the opposite . However , the prisoner knows this so he tells them the oppos",2.0,Why will Jim look in the cupboard for the paddle ? Jim would look in the cupboard because he knows that Simon is probably lying .,2.0,"Why did the burglar do that ? He knew that he was going to be arrested either way , so he just decided to give up and admit he did it instead of being part of a lie detector test .",1.0
2001008,21,0,10.06,2,3,9,0,Why did the men hide ? I think the men hide because the lady is telling them off because they have done something wrong .,0,What does the woman think ? I think that the women is thinking where have the men gone .,2.0,Why did the driver lock Harold in the van ? I think the driver locked haroled in the van because he was being nauty .,0.0,What is the deliveryman feeling and why ? I think the dilery man feals shoct .,1.0,Why did Harold pick up the cat ? I THINK HAROLED PICKED UP THE CAT TO GET REVENGE ON THE WOMEN .,0.0,Why does Harold fan Mildred ? I THINK HAROLED FANS MILLDRED SO THAT THE OTHER MAN WOULD THINK SHE IS SICK .,2.0,Why does Brian say this ? BREIN SAYS THIS BECAUSE HE IS A GREEDY BOY .,1.0,Why did she say that ? SHE SIAD THAT BECAUSE SHE WAS AFRAID OF THIS MAN .,1.0,Why did the prisoner say that ? THE PRESIONER SIAD THAT BECAUSE HE WANTED TO TRICK THEM .,1.0,Why will Jim look in the cupboard for the paddle ? JIM LOOKS IN THE COPBOARD BECAUSE HE NOSE THAT SIMON IS LIEING .,2.0,Why did the burglar do that ? HE DID IT BECAUSE HE THOUGH THE POLICE MAN HAD CAUGHT HIM .,1.0
2001009,21,0,9.41,1,2,12,0,Why did the men hide ? The men hid because they where hiding from the woman .,0,What does the woman think ? I think the woman is thinking `` were are these men '',2.0,Why did the driver lock Harold in the van ? I think the drive locks Harold in the van because the other man told him to .,0.0,What is the deliveryman feeling and why ? I think the delivery man was feeling scared because he droped Haroled and ran of .,1.0,Why did Harold pick up the cat ? I think Harold picks up the cat because he thinks its a scarf,2.0,Why does Harold fan Mildred ? I think Harold fans Mildred because he wants it to look like shes fainted .,1.0,Why does Brian say this ? I think Brien says this because he wants more saugase than any one eals .,1.0,Why did she say that ? I think she said it because she was afrade that the man was going to steal her pures .,1.0,Why did the prisoner say that ? He said it because he was trying to trick them by using revers sicoligy .,1.0,Why will Jim look in the cupboard for the paddle ? He looked in the coberd because Simon always lies.~~,1.0,Why did the burglar do that ? The begular does it because he thinks the pplice man is going to arrest him .,1.0
2001010,21,1,9.13,1,2,-99,0,Why did the men hide ? Because of the lady in white,0,What does the woman think ? the women is thinking where are they,2.0,Why did the driver lock Harold in the van ? Because he does n't know that hes there,2.0,What is the deliveryman feeling and why ? the delivery man is feeling scared,1.0,Why did Harold pick up the cat ? Harold picks up the cat to scare the lady,0.0,Why does Harold fan Mildred ? Harold fans mildred to wake her up,0.0,Why does Brian say this ? to get the sausages,1.0,Why did she say that ? because shes nervouse,1.0,Why did the prisoner say that ? to lie to them,0.0,Why will Jim look in the cupboard for the paddle ? because simon lied,1.0,Why did the burglar do that ? he thought that he was being arrested,1.0
